"venue_id","date","hour","checkin_count","unique_users","top_genre"
"768d4f5e-19db-4d7a-9734-72456c778b98","2025-12-18","10","53","71","rock"
"b5224c0a-dbe5-450a-a407-b80c6c239abd","2025-08-10","23","26","487","pop"
"c5544c84-a619-461d-997f-13d756acfd81","2026-01-19","22","104","230","electronica"
"b2fe3dac-f4c9-490a-8233-f9396836f8d8","2026-03-01","9","9","114","reggaeton"
"64b260a9-ebc5-4e26-ad24-169388ef3f6d","2026-04-08","13","380","256","indie"
"135d02dd-776d-4041-b58d-a4bace2bd502","2025-11-28","9","313","208","jazz"
"b492d484-6e88-4199-bc37-10baa2f810cb","2025-09-16","15","306","454","techno"
"e7d3e30f-9ba4-4f25-a091-3bcfeb207cf5","2026-03-14","12","209","484","rock"
"84059d76-2d74-4e94-9359-9079909d1774","2025-08-21","6","66","416","pop"
"96c6f09d-df2d-49ef-9704-9c25cb0e198c","2025-10-01","23","35","463","electronica"
"e425349b-9bea-4633-8a9e-4b04bd1fe621","2025-07-31","22","422","240","reggaeton"
"74203c10-366c-4057-94ce-dd621addee64","2025-08-22","12","182","166","indie"
"622bd4ee-6ce9-42d3-a0b8-abfef6856403","2026-01-26","21","272","260","jazz"
"33404341-3a6b-490f-8032-03789601df45","2025-11-17","14","177","152","techno"
"eb7ac73d-6962-4572-b244-c02eb22c67d1","2025-12-22","12","115","33","rock"
"1e2707e5-97be-49ca-9324-24497939b1f6","2025-11-15","22","195","259","pop"
"0a2b75d1-3d53-412d-a30e-ae337035c044","2025-12-06","12","491","223","electronica"
"4d38a94d-72da-4178-b06e-2f1719cbb21c","2026-01-24","16","121","59","reggaeton"
"43b87861-9d3c-4e74-9b35-7c09dc1c3794","2026-04-15","7","224","385","indie"
"6bd5e2d5-7182-4973-9215-25f4241ca1b8","2025-06-18","7","249","399","jazz"
"0ce0eb44-c490-49a5-8d9c-8210f30a9353","2025-06-11","5","346","425","techno"
"b4c9b62e-e009-4c59-ba12-61ceb8720ef3","2026-02-08","19","130","111","rock"
"5fba3bf0-cb2d-46cf-9368-ca983c976224","2025-07-23","6","289","84","pop"
